Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Area,Road,Road Width,Road Type,Amenities,Face
"Brand New House For Sale At Kapan, Kharibot. : House For Sale In Kapan, Kathmandu","Kapan, Kharibot, Kapan, Kathmandu",Kathmandu,24000000,5,3,2,1,3.3 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'Washing Machine', 'Drainage', 'Water Tank', 'Solar Water', 'Water Supply', 'Internet']",South
"House For Sale In Nepaltar, Kathmandu","Nearby, Laxmi Bank, Nepaltar, Kathmandu",Kathmandu,24000000,5,3,3,0,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Balcony', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Parking']",East
"Brand New House For Sale At Sano Bharyang Near Ring Road : House For Sale In Sano Bharyang, Kathmandu","Sano Bharyang Near Ring Road, Sano Bharyang, Kathmandu",Kathmandu,23500000,5,3,3,2,3 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Parking', 'Lawn', 'Garage', 'Air Condition', 'Backyard', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Drainage', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground']",South
"Brand New House For Sale At Sano Bharyang : House For Sale In Sanobharyang, Kathmandu","Sano Bharyang, Sanobharyang, Kathmandu",Kathmandu,22500000,5,3,3,1,3.6 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,"['Parking', 'Lawn', 'Garage', 'Air Condition', 'Backyard', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Balcony', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'CCTV', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Drainage', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet']",North
"Sale Of Attractive House And Land : House For Sale In Naikap, Kathmandu","Piple Chautari Tole (Naya Basti), Naikap, Kathmandu",Kathmandu,22500000,5,3,3,1,4 Aana,13 Feet,13 Feet,,"['Parking', 'Balcony', 'Water Well', 'Store Room', 'Frontyard', 'Garden', 'Water Supply', 'Solar Water', 'TV Cable']",East
"House Sale In Syuchatar : House For Sale In Syuchatar, Kathmandu","Syuchatar, Syuchatar, Kathmandu",Kathmandu,22000000,5,3,3,1,6.2 Aana,10 Feet,10 Feet,,"['Parking', 'Balcony', 'Drainage', 'Water Supply']",North
"House For Sale In Jorpati, Kathmandu","jorpati makalbari near sano pool, Jorpati, Kathmandu",Kathmandu,21000000,5,3,3,1,4.6 Aana,12 Feet / Blacktopped,12 Feet , Blacktopped,"['Water Well', 'Solar Water', 'Garage', 'TV Cable', 'Parking', 'Electricity Backup', 'Store Room']",East
"Sanobharyang Family Home : House For Sale In Swayambhu, Kathmandu","Na, Swayambhu, Kathmandu",Kathmandu,20600000,5,3,3,1,3.1 Aana,13 Feet / Soil Stabilized,13 Feet , Soil Stabilized,"['Garage', 'Water Supply', 'Drainage']",East
"House For Sale In Syuchatar, Kathmandu","Syuchatar, Syuchatar, Kathmandu",Kathmandu,20000000,5,3,3,0,3.3 Aana,20 Feet,20 Feet,,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",East
"House For Sale In Sunderbasti, Kathmandu","Golfutar, Sunderbasti, Kathmandu",Kathmandu,19500000,5,3,3,2,3.2 Aana,13 Feet,13 Feet,,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",South East
"Newly Built House On Sale : House For Sale In Ason, Kathmandu","Goshiphal Marg, Ason, Kathmandu",Kathmandu,17500000,5,3,7,0,2 aana,26 Feet / Blacktopped,26 Feet , Blacktopped,"['TV Cable', 'Drainage', 'Water Supply', 'Water Well', 'Water Tank']",North East
"House On Sell @Tarkeshwar-09, Manamaiju, Basukinagtole : Flat For Sale In Manamaiju, Kathmandu","Basukinagtole, Manamaiju, Kathmandu, Manamaiju, Kathmandu",Kathmandu,17000000,5,3,3,1,3 Aana,14 Feet,14 Feet,,"['Parking', 'Balcony', 'TV Cable', 'Wifi', 'Water Supply', 'Water Tank', 'Solar Water', 'Internet', 'Store Room']",North West
"House For Sale At Manamaiju : House For Sale In Manamaiju, Kathmandu","Kathmandu, Manmaiju, Manamaiju, Kathmandu",Kathmandu,17000000,5,3,3,1,3.75 Aana,12 Feet / Paved,12 Feet , Paved,"['Balcony', 'Parking', 'Solar Water', 'Drainage', 'Water Supply']",South East
"MULPANI : House For Sale In Mulpani, Kathmandu","nearby greenhill city, Mulpani, Kathmandu",Kathmandu,16500000,5,3,3,1,3 Aana,10 Feet,10 Feet,,"['Garage', 'Balcony', 'Fencing', 'Modular Kitchen', 'Drainage', 'Water Tank', 'Water Well']",East
"House For Sale In Tinthana, Kathmandu","Bishnu Devi Village Colony, Tinthana, Kathmandu",Kathmandu,16000000,5,3,2.5,1,3 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Balcony', 'Fencing', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']",North East
"House For Sale In Joranku, Kathmandu","jarankhu kapresthali, Joranku, Kathmandu",Kathmandu,15900000,5,3,3,0,3 Aana,8 Feet / Soil Stabilized,8 Feet , Soil Stabilized,"['Backyard', 'Frontyard', 'Balcony', 'Wifi', 'TV Cable', 'Water Supply']",South
"Modern Bungalow House : House For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu",Kathmandu,100000000,6,3,2,10,19.4 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Parking', 'Lawn', 'Garage', 'Balcony', 'Backyard', 'Frontyard', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Solar Water', 'Water Well']",East
"Flat System House On Sale At Budhanikantha : House For Sale In Budhanilkantha, Kathmandu","Budhanikantha, Budhanilkantha, Kathmandu",Kathmandu,90000000,6,3,2,10,16.0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Modular Kitchen', 'Garden', 'Water Supply', 'Drainage', 'Water Tank', 'Wifi', 'Water Well', 'Solar Water', 'TV Cable']",North
"House For Sale At Only Land Cost @ Baneshwor! : House For Sale In Old Baneshwor, Kathmandu","Bhimsengola, Old Baneshwor, Kathmandu",Kathmandu,60000000,6,3,3,4,10 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,[],East
"House For Sale In Baluwatar, Kathmandu","Nearby IOM, Baluwatar, Kathmandu",Kathmandu,51500000,6,3,3,8,6 Aana,12 Feet,12 Feet,,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",North West
"Brand New House For Sale At Samakhusi, Only 150 Meters From Ring Road. : House For Sale In Samakhusi, Kathmandu","Samakhusi, Only 150 Meters From Ring Road, Samakhusi, Kathmandu",Kathmandu,35000000,6,3,2,2,5 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'Washing Machine', 'TV Cable', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",East
"Property At New Baneshwor : House For Sale In Baneshwor, Kathmandu","66/51, Janasahayog Marga, Baneshwor, Kathmandu",Kathmandu,34500000,6,3,2,2,4 Aana,0 Feet,0 Feet,,[],South East
"Brand New House For Sale In Swoyambhu/Swayambhu Near Bhagwan Pau : House For Sale In Swayambhu, Kathmandu","Swoyambhu, Swayambhu, Kathmandu",Kathmandu,34000000,6,3,3,1,4 Aana,12 Feet / Gravelled,12 Feet , Gravelled,"['Parking', 'Balcony', 'Water Well', 'Water Tank', 'Drainage']",East
"House For Sale In Budhanilkantha, Kathmandu","Nearby Jyotinagar, Budhanilkantha, Kathmandu",Kathmandu,34000000,6,3,3,4,6 Aana,13 Feet,13 Feet,,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",South East
"House For Sale In Pepsicola, Kathmandu","House no 22 Khare Chowk, Pepsicola, Kathmandu",Kathmandu,32000000,6,3,3,2,4.8 Aana,30 Feet / Soil Stabilized,30 Feet , Soil Stabilized,"['Balcony', 'Garden', 'TV Cable', 'Wifi', 'Water Supply', 'Internet', 'Parking']",South West
"House For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,29000000,6,3,2.5,0,4 Aana,14 Feet,14 Feet,,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",North East
"Mandikatar House In Sell : House For Sale In Mandikatar, Kathmandu","House, Mandikatar, Kathmandu",Kathmandu,27800000,6,3,3,2,5 Aana,13 Feet / Gravelled,13 Feet , Gravelled,['Air Condition'],East
"East Facing 4 Anna Brand New Family Home For Sale At Mandikatar. : House For Sale In Mandikatar, Kathmandu","Mandikatar Faat, Mandikatar, Kathmandu",Kathmandu,27500000,6,3,2,1,4 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Garden', 'Frontyard', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Intercom', 'Internet']",East
"House For Sale In Samakhusi, Kathmandu","Samakhusi kharibot, Samakhusi, Kathmandu",Kathmandu,27500000,6,3,3,3,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Parking']",North
"House For Sale In Chhauni, Kathmandu","Nearby, Musiam, Chhauni, Kathmandu",Kathmandu,25000000,6,3,2.5,0,4.21 Aana,11 Feet / Blacktopped,11 Feet , Blacktopped,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",East
"House For Sale In Sukedhara, Kathmandu","New colony, Sukedhara, Kathmandu",Kathmandu,21000000,6,3,2,2,3 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,"['Balcony', 'Water Well', 'TV Cable', 'Wifi']",East
"House : House For Sale In Kavresthali, Kathmandu","Kavresthali, Balaju, Kavresthali, Kathmandu",Kathmandu,19000000,6,3,3,1,3.2 Aana,0 Feet,0 Feet,,"['Backyard', 'Balcony', 'Fencing', 'Drainage', 'Water Supply', 'Modular Kitchen', 'Water Well', 'Water Tank', 'Solar Water', 'Washing Machine']",East
"Akase Dhara House : House For Sale In Kapan, Kathmandu","akase dhara, Kapan, Kathmandu",Kathmandu,18000000,6,3,3,2,4.3 Aana,13 Feet / Concrete,13 Feet , Concrete,"['Parking', 'Water Tank', 'Modular Kitchen', 'Fencing', 'Fencing', 'Water Well', 'Parking', 'Electricity Backup', 'Balcony', 'Water Well', 'Balcony', 'Water Tank', 'Modular Kitchen', 'Electricity Backup']",East
"2.5 Storey House On Sale At Sano Mandir , Gurjudhara : House For Sale In Gurujudhara, Kathmandu","gurjudhara , sano mandir, Gurujudhara, Kathmandu",Kathmandu,17000000,6,3,2,2,4.1 Aana,11 Feet,11 Feet,,[],South East
"Residential : House For Sale In Goldhunga, Kathmandu","Nagarjun School, Goldhunga, Kathmandu",Kathmandu,16500000,6,3,2.5,1,3 Aana,10 Feet / Gravelled,10 Feet , Gravelled,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Parking', 'Store Room']",South
"House For Sale In Tarkeshwor, Kathmandu","Lambagar, Tarkeshwor, Kathmandu",Kathmandu,16500000,6,3,3,3,4 Aana,12 Feet,12 Feet,,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",North East
"House For Sale In Baniyatar, Kathmandu","Baniyatar, Baniyatar, Kathmandu",Kathmandu,16500000,6,3,3,0,3.1 Aana,10 Feet / Blacktopped,10 Feet , Blacktopped,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",North
"House For Sale In Thapathali, Kathmandu","Nearby Norvic Hospital, Thapathali, Kathmandu",Kathmandu,9000000,6,3,3,1,6.1 Aana,10 Feet / Paved,10 Feet , Paved,"['Fencing', 'Frontyard', 'Garden', 'TV Cable', 'Drainage', 'Solar Water', 'Water Well', 'Internet', 'Parking', 'Store Room']",East
"House For Sale In Kamalpokhari, Kathmandu","Kamalpokhari, Kamalpokhari, Kathmandu",Kathmandu,55000000,7,3,2.5,0,15 Aana,0 Feet,0 Feet,,"['Balcony', 'Garden', 'Gym', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",South East
"House For Sale In Shantinagar, Kathmandu","New Baneshwor, Shantinagar, Kathmandu",Kathmandu,43500000,7,3,3,1,7 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking']",East
"Beautiful : House For Sale In Baluwatar, Kathmandu","Chandol, Baluwatar, Kathmandu",Kathmandu,41000000,7,3,2.5,1,5.0 Aana,10 Feet / Blacktopped,10 Feet , Blacktopped,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']",West
"Brand New : House For Sale In Sankhamul, Kathmandu","Nearby Valley Top Driving Center, Sankhamul, Kathmandu",Kathmandu,35000000,7,3,2.5,2,4.02 Aana,12 Feet / Paved,12 Feet , Paved,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']",West
"House For Sale In Raniban, Kathmandu","Raniban, Raniban, Kathmandu",Kathmandu,33500000,7,3,3,0,6 Aana,14 Feet / Soil Stabilized,14 Feet , Soil Stabilized,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",South West
"Residential And Personal : House For Sale In Bafal, Kathmandu","Gandakbasti, Bafal, Kathmandu",Kathmandu,31000000,7,3,3,1,4 Aana,10 Feet / Blacktopped,10 Feet , Blacktopped,"['Garage', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Solar Water', 'Water Well', 'Water Tank', 'Parking', 'Electricity Backup', 'Internet']",East
"House For Sale In Dhapasi, Kathmandu","Nearby API boarding school, Dhapasi, Kathmandu",Kathmandu,25000000,7,3,4,1,5.1 Aana,12 Feet,12 Feet,,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well']",South
"House For Sale In Tokha, Kathmandu","Panchetar, Tokha, Kathmandu",Kathmandu,24500000,7,3,3,0,4.8 Aana,10 Feet / Gravelled,10 Feet , Gravelled,[],East
"House Sale In Phutung Tushal : House For Sale In Kavresthali, Kathmandu","Phutung Tushal, Kavresthali, Kathmandu",Kathmandu,23000000,7,3,3,1,4 Aana,10 Feet,10 Feet,,['Parking'],East
"Residential House : House For Sale In Makalbari, Kathmandu","Sundar Tole, Makalbari, Kathmandu",Kathmandu,20000000,7,3,2.5,2,4.1 Aana,10 Feet / Gravelled,10 Feet , Gravelled,"['Balcony', 'Fencing', 'Frontyard', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']",South
"2.5 Storey House On Sale At Ramkot : House For Sale In Ramkot, Kathmandu","Dadapauwa, Ramkot, Kathmandu",Kathmandu,17500000,7,3,3,0,3.2 Aana,0 Feet,0 Feet,,[],East
"House For Sale In Tarkeshwor, Kathmandu","Tarkeshwor Municipality Head Office, Tarkeshwor, Kathmandu",Kathmandu,8000000,7,3,2,0,4 Aana,10 Feet,10 Feet,,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well']",East
"House For Sale In Maharajgunj, Kathmandu","Maharajgunj Ganeshbasti, Maharajgunj, Kathmandu",Kathmandu,57500000,8,3,3.5,0,7.1 Aana,12 Feet / Blacktopped,12 Feet , Blacktopped,[],West
"House For Sale In Chundevi, Kathmandu","Chundevi, Chundevi, Kathmandu",Kathmandu,31000000,8,3,4,1,4 Aana,14 Feet / Gravelled,14 Feet , Gravelled,"['Balcony', 'Garden', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",South East
"Newly Built House For Sale At Guheshwori : House For Sale In Guheshwori, Kathmandu","Nayabasti, planing, Guheshwori, Kathmandu",Kathmandu,28500000,8,3,3,1,4 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,"['Balcony', 'Garden', 'Drainage', 'Water Supply', 'Water Well', 'Electricity Backup', 'Parking']",South East
"House On SALE!! : House For Sale In Kapan, Kathmandu","Kapan height, Kapan, Kathmandu",Kathmandu,17000000,8,3,10,2,3.5 Aana,10 Feet / Soil Stabilized,10 Feet , Soil Stabilized,[],South West
"Apartment For Sale In Kamalpokhari, Kathmandu","Kamalpokhari, Kamalpokhari, Kathmandu",Kathmandu,55000000,9,3,4,0,13 Aana,20 Feet,20 Feet,,"['Balcony', 'Garden', 'Gym', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",West
"House For Sale In Jorpati, Kathmandu","Narayantar, Jorpati, Kathmandu",Kathmandu,16500000,9,3,3,0,3 Aana,10 Feet / Gravelled,10 Feet , Gravelled,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",East
"House On Sale At Mahadevsthan , Thankot : House For Sale In Thankot, Kathmandu","madevsthan, Thankot, Kathmandu",Kathmandu,11000000,10,3,2,0,4 Aana,3 Feet,3 Feet,,"['Electricity Backup', 'Solar Water']",South East
"2.5 Storey : House For Sale In Naikap, Kathmandu","Naikap, Naikap, Kathmandu",Kathmandu,22000000,11,3,2.5,1,6 Aana,11 Feet / Gravelled,11 Feet , Gravelled,"['Drainage', 'Water Well', 'Parking']",South East
"31 Anna Commercial Land For Sale Prime Location, Baluwatar Main Road : Land For Sale In Baluwatar, Kathmandu","Baluwatar Main Road, Baluwatar, Kathmandu",Kathmandu,13000000,3,4,4,0,15 Aana,50 Feet / Blacktopped,50 Feet , Blacktopped,[],West
"House For Sale In Dhapasi, Kathmandu","Dhapasi, Dhapasi, Kathmandu",Kathmandu,12500000,2,4,2.5,0,2.5 Aana,13 Feet / Soil Stabilized,13 Feet , Soil Stabilized,[],East
"House For Sale In Chabahil, Kathmandu","Nearby, Gopikrishna flim hall, Chabahil, Kathmandu",Kathmandu,11400000,2,4,3,0,2.1 Aana,10 Feet / Soil Stabilized,10 Feet , Soil Stabilized,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",East
"House For Sale In Naikap, Kathmandu","Purano Naikap, Naikap, Kathmandu",Kathmandu,9500000,2,4,3,0,2.3 Aana,10 Feet / Blacktopped,10 Feet , Blacktopped,[],South
"House For Sale In Kapan, Kathmandu","Ram Mandir, Kapan, Kathmandu",Kathmandu,18500000,2,4,3,0,4.2 Aana,13 Feet / Gravelled,13 Feet , Gravelled,[],East
"House For Sale In Dhapasi, Kathmandu","Nearby Grande International Hospital, Dhapasi, Kathmandu",Kathmandu,17500000,2,4,3,0,3.5 Aana,13 Feet,13 Feet,,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",East
"Land For Sale In Thapathali, Kathmandu","Behind Rastra Bank, Thapathali, Kathmandu",Kathmandu,12500000,2,4,2,0,12.5 Aana,18 Feet / Gravelled,18 Feet , Gravelled,[],East
"House For Sale In Kapan, Kathmandu","Aakashedhara, Kapan, Kathmandu",Kathmandu,20000000,3,4,3,0,4.2 Aana,12 Feet / Gravelled,12 Feet , Gravelled,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",East
"House For Sale In Jorpati, Kathmandu","Shiva Chowk, Dashindhoka Jorpati, Jorpati, Kathmandu",Kathmandu,20000000,3,4,3,0,4 Aana,15 Feet,15 Feet,,[],South East
"House For Sale In Kapan, Kathmandu","akatabasti, Kapan, Kathmandu",Kathmandu,18200000,3,4,5,0,3 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,[],East
"House For Sale In Pasikot, Kathmandu","Pasikot, Pasikot, Kathmandu",Kathmandu,17500000,3,4,3,0,4 Aana,16 Feet,16 Feet,,[],South
"House For Sale In Goldhunga, Kathmandu","Goldhunga, Goldhunga, Kathmandu",Kathmandu,25000000,3,4,2.5,0,7 Aana,15 Feet,15 Feet,,[],North
"House For Sale In Balaju, Kathmandu","Balaju, Balaju, Kathmandu",Kathmandu,22000000,3,4,2,0,4 Aana,22 Feet / Gravelled,22 Feet , Gravelled,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Parking']",East
"House For Sale In Bhangal, Kathmandu","Bhangal, Bhangal, Kathmandu",Kathmandu,20000000,4,4,4,0,3.1 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,[],East
"Total 10 Room : House For Sale In Manamaiju, Kathmandu","Gongabu, Manamaiju, Kathmandu",Kathmandu,17000000,4,4,3,0,3 Aana,12 Feet,12 Feet,,"['Drainage', 'Water Supply', 'Parking']",North
"House For Sale In Budhanilkantha, Kathmandu","Taulung, Budhanilkantha, Kathmandu",Kathmandu,26000000,4,4,3,0,6.56 Aana,16 Feet,16 Feet,,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",West
"House For Sale In Sukedhara, Kathmandu","Jyotinagar, Sukedhara, Kathmandu",Kathmandu,24000000,4,4,3,0,4.3 Aana,13 Feet / Soil Stabilized,13 Feet , Soil Stabilized,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Parking']",South
"House For Sale In Jorpati, Kathmandu","Narayantar, Jorpati, Kathmandu",Kathmandu,24000000,4,4,3,0,4 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,[],West
"House For Sale In Gongabu, Kathmandu","Ganesthan, Gongabu, Kathmandu",Kathmandu,22500000,4,4,3,0,3.5 Aana,0 Feet,0 Feet,,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",South
"One And Half Storied : House For Sale In Kadaghari, Kathmandu","Birendrachwok, Planning, Kadaghari, Kathmandu",Kathmandu,15500000,2,4,1.5,2,4 Aana,20 Feet / Gravelled,20 Feet , Gravelled,[],South
"House For Sale In Pasikot, Kathmandu","Budhanilkantha, Pasikot, Kathmandu",Kathmandu,13800000,2,4,3,0,4.8 Aana,12 Feet / Soil Stabilized,12 Feet , Soil Stabilized,"['Garage', 'Wifi', 'Drainage', 'Water Well', 'Water Supply', 'Modular Kitchen', 'TV Cable']",East
"House For Sale In Tarkeshwor, Kathmandu","Nagpokhari road, Tarkeshwor, Kathmandu",Kathmandu,13000000,2,4,1,1,3.1 Aana,0 Feet,0 Feet,,['Parking'],South West
"House For Sale In Kapan, Kathmandu","Kapan, Kathmandu, Kapan, Kathmandu",Kathmandu,20000000,5,4,3,1,3.2 Aana,13 Feet,13 Feet,,"['Garage', 'Balcony', 'Modular Kitchen', 'Drainage', 'Water Tank', 'Water Well', 'Backyard']",West
"House For Sale In Bhangal, Kathmandu","Sundara Basti, Bhangal, Kathmandu",Kathmandu,22000000,11,4,3,0,3.9 Aana,13 Feet / Gravelled,13 Feet , Gravelled,[],East
"Fully Furnished New House On Sale At Hepali, Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,33500000,2,4,3,2,4 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,"['Parking', 'Balcony', 'Microwave', 'Drainage', 'Electricity Backup', 'Water Supply', 'Modular Kitchen', 'Fencing', 'Intercom', 'Internet', 'Frontyard', 'TV Cable', 'Garage', 'Garden', 'Washing Machine', 'Water Tank', 'Kids Playground', 'CCTV', 'Wifi']",East
"House For Sale In Basbari, Kathmandu","Neuro Hospital, Basbari, Kathmandu",Kathmandu,28000000,2,4,3,3,5 Aana,13 Feet / Gravelled,13 Feet , Gravelled,[],South East
"9.2 Anna Land For Sale At Baluwatar, 1 Kitta Inside From Main Road : Land For Sale In Baluwatar, Kathmandu","Baluwatar Beside Goma Petrol Pump, 1 Kitta Inside from Main Road., Baluwatar, Kathmandu",Kathmandu,7500000,2,4,3,0,9 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,[],South East
"House For Sale At Putalisadak Behind Star Mall, Just 100 Meters From Main Road. : House For Sale In Putalisadak, Kathmandu","Putalisadak Behind Star Mall, 100 Meters From Main Road, Putalisadak, Kathmandu",Kathmandu,75000000,3,4,5,0,9 Aana,12 Feet / Blacktopped,12 Feet , Blacktopped,"['Parking', 'Balcony', 'Drainage', 'Electricity Backup', 'Water Supply', 'Lawn', 'Fencing', 'Intercom', 'Internet', 'Water Well', 'Frontyard', 'Garage', 'TV Cable', 'Garden', 'Water Tank', 'Kids Playground', 'CCTV', 'Backyard']",East
"House For Sale In Thulo Bharyang, Kathmandu","Thulo Bharyang, Thulo Bharyang, Kathmandu",Kathmandu,70000000,3,4,2,4,6.25 Aana,20 Feet,20 Feet,,"['TV Cable', 'Wifi', 'Water Supply', 'Solar Water', 'Water Tank']",West
"Dhapasi House Sale : House For Sale In Dhapasi, Kathmandu","Dhapasi, Dhapasi, Kathmandu",Kathmandu,70000000,3,4,2,4,16 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,[],East
"House For Sale InKhusibun, Naya Bazar, Kathmandu","Nabazar Khusibun, Naya Bazar, Kathmandu",Kathmandu,40000000,3,4,3,1,3 Aana,20 Feet,20 Feet,,[],East
"House For Sale In Maharajgunj, Kathmandu","Maharajgunj, Maharajgunj, Kathmandu",Kathmandu,36500000,3,4,3,0,4 Aana,13 Feet,13 Feet,,"['Air Condition', 'Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply']",South
"BUDHANILKANTHA COLONY : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,33000000,3,4,3,1,3.33 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Garage', 'Lawn', 'Balcony', 'Swimming Pool', 'Gym', 'Garden', 'Frontyard', 'Drainage', 'Wifi', 'Modular Kitchen', 'Water Supply']",West
"House On Sale : House For Sale In Naya Bazar, Kathmandu","Nayabazar-16, Naya Bazar, Kathmandu",Kathmandu,31000000,3,4,3,1,3 Aana,6 Meter / Blacktopped,6 Meter , Blacktopped,"['Fencing', 'Modular Kitchen', 'Frontyard', 'Backyard']",South East
"House For Sale In Tahachal, Kathmandu","Tahachal, Tahachal, Kathmandu",Kathmandu,27000000,3,4,3,1,3.5 Aana,0 Feet,0 Feet,,[],South
